id,userid,tutor,interface,start_state,selection,action,input,correctness,kc_labels,time
482,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring,factor_leading_one.html,{'initial_problem': 'x^2-6x+8'},,start new problem,,,,2022-01-23 18:49:38
483,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring,factor_leading_one.html,{'initial_problem': 'x^2-8x+16'},,start new problem,,,,2022-01-23 18:50:03
484,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring,factor_grouping.html,{'initial_problem': '10x^2+11x-6'},,start new problem,,,,2022-01-23 18:51:07
485,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring,factor_slip_slide.html,{'initial_problem': '25x^2-35x+12'},,start new problem,,,,2022-01-23 18:52:21
486,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring,factor_area_box.html,{'initial_problem': '12x^2-23x+10'},,start new problem,,,,2022-01-23 18:52:40
487,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring,factor_leading_one.html,{'initial_problem': 'x^2+3x-10'},,start new problem,,,,2022-01-23 18:52:50
488,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+3x-10'},first_expression,input change,(x-2),INCORRECT,[],2022-01-23 18:53:50
489,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+3x-10'},second_expression,input change,(x+5),INCORRECT,[],2022-01-23 18:53:58
490,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+3x-10'},b_value,input change,3,HINT,['Extract b value'],2022-01-23 18:54:45
491,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring,factor_area_box.html,{'initial_problem': '4x^2+17x+4'},,start new problem,,,,2022-01-23 19:30:29
492,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring,factor_grouping.html,{'initial_problem': '20x^2+11x-4'},,start new problem,,,,2022-01-23 19:34:37
493,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring,factor_grouping.html,{'initial_problem': '6x^2-7x-20'},,start new problem,,,,2022-01-23 19:38:12
494,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring,factor_slip_slide.html,{'initial_problem': '20x^2+17x+3'},,start new problem,,,,2022-01-23 19:38:13
495,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring,factor_leading_one.html,{'initial_problem': 'x^2+2x-8'},,start new problem,,,,2022-01-23 19:38:28
496,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+2x-8'},b_value,input change,1,INCORRECT,['Extract b value'],2022-01-23 19:39:11
497,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+2x-8'},b_value,input change,0,INCORRECT,['Extract b value'],2022-01-23 19:39:15
498,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+2x-8'},b_value,input change,2x,INCORRECT,['Extract b value'],2022-01-23 19:39:20
499,8dc0b09e-3764-11ec-8dcf-a716184a8891,factoring_polynomials,factor_leading_one.html,{'initial_problem': 'x^2+2x-8'},b_value,input change,(x+4),INCORRECT,['Extract b value'],2022-01-23 19:42:27
